# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150320-20150419
# ----------------------------------------

Day Index,Sessions
3/20/15,0
3/21/15,0
3/22/15,0
3/23/15,0
3/24/15,0
3/25/15,0
3/26/15,0
3/27/15,0
3/28/15,0
3/29/15,0
3/30/15,0
3/31/15,0
4/1/15,0
4/2/15,0
4/3/15,0
4/4/15,0
4/5/15,0
4/6/15,3
4/7/15,1
4/8/15,29
4/9/15,31
4/10/15,50
4/11/15,7
4/12/15,14
4/13/15,4969
4/14/15,16800
4/15/15,14461
4/16/15,8863
4/17/15,5262
4/18/15,2212
4/19/15,1612
,54314

