"Date","Criterion","Parameter 1","Parameter 2","Value"
"15.04.2015","views","","",996
"15.04.2015","visitors","","",494
"15.04.2015","gender","F","",106
"15.04.2015","gender","M","",300
"15.04.2015","age","1-18","",34
"15.04.2015","age","18-21","",73
"15.04.2015","age","21-24","",67
"15.04.2015","age","24-27","",53
"15.04.2015","age","27-30","",45
"15.04.2015","age","30-35","",48
"15.04.2015","age","35-45","",25
"15.04.2015","age","45+","",22
"15.04.2015","gender_age","F","1-18",9
"15.04.2015","gender_age","F","18-21",15
"15.04.2015","gender_age","F","21-24",27
"15.04.2015","gender_age","F","24-27",16
"15.04.2015","gender_age","F","27-30",7
"15.04.2015","gender_age","F","30-35",13
"15.04.2015","gender_age","F","45+",8
"15.04.2015","gender_age","M","1-18",25
"15.04.2015","gender_age","M","18-21",58
"15.04.2015","gender_age","M","21-24",40
"15.04.2015","gender_age","M","24-27",37
"15.04.2015","gender_age","M","27-30",38
"15.04.2015","gender_age","M","30-35",35
"15.04.2015","gender_age","M","35-45",25
"15.04.2015","gender_age","M","45+",14
"15.04.2015","cities","Moscow","",31
"15.04.2015","cities","Saint Petersburg","",17
"15.04.2015","cities","Novosibirsk","",12
"15.04.2015","cities","Rostov-on-Don","",8
"15.04.2015","cities","Perm","",6
"15.04.2015","cities","Kazan","",6
"15.04.2015","cities","Astana","",5
"15.04.2015","cities","Yekaterinburg","",4
"15.04.2015","cities","Chelyabinsk","",4
"15.04.2015","cities","Kaluga","",3
"15.04.2015","cities","Yaroslavl","",3
"15.04.2015","cities","Naberezhnye Chelny","",3
"15.04.2015","cities","Ulyanovsk","",3
"15.04.2015","cities","Saratov","",2
"15.04.2015","cities","Karaganda","",2
"15.04.2015","cities","Kiev","",2
"15.04.2015","cities","Lobnya","",2
"15.04.2015","cities","Kemerovo","",2
"15.04.2015","cities","Kharkiv","",2
"15.04.2015","cities","Donetsk","",2
"15.04.2015","cities","Voronezh","",2
"15.04.2015","cities","Lutsk","",2
"15.04.2015","cities","Magnitogorsk","",2
"15.04.2015","cities","Veliky Novgorod","",2
"15.04.2015","cities","Chişinău ","",2
"15.04.2015","countries","Russia","",378
"15.04.2015","countries","Ukraine","",39
"15.04.2015","countries","Kazakhstan","",22
"15.04.2015","countries","Belarus","",14
"15.04.2015","countries","USA","",13
"15.04.2015","countries","China","",4
"15.04.2015","countries","Germany","",3
"15.04.2015","countries","Netherlands","",2
"15.04.2015","countries","Switzerland","",2
"15.04.2015","countries","Kyrgyzstan","",2
"15.04.2015","countries","","",2
"15.04.2015","countries","Moldova","",2
"15.04.2015","countries","Peru","",1
"15.04.2015","countries","India","",1
"15.04.2015","countries","Vietnam","",1
"15.04.2015","countries","Spain","",1
"15.04.2015","countries","Turkey","",1
"15.04.2015","countries","Norway","",1
"15.04.2015","countries","Czech Republic","",1
"15.04.2015","countries","Tajikistan","",1
"15.04.2015","countries","Armenia","",1
"15.04.2015","countries","France","",1
"15.04.2015","countries","Ghana","",1
"15.04.2015","sections","Discussion board","",72
"15.04.2015","sections","Videos","",2
"15.04.2015","sections","Photos","",15
"15.04.2015","activity","Wall posts","",14
"15.04.2015","activity","Photo comments","",68
"15.04.2015","activity","Discussion comments","",17
"15.04.2015","feedback","Like","",71
"15.04.2015","feedback","Share","",10
"15.04.2015","feedback","Comments","",138
"15.04.2015","members","New members","",21
"15.04.2015","members","Members lost","",23
"15.04.2015","ads","New members from ads","",1
"15.04.2015","ads","Visitors from ads","",60
"14.04.2015","views","","",812
"14.04.2015","visitors","","",430
"14.04.2015","gender","F","",73
"14.04.2015","gender","M","",274
"14.04.2015","age","1-18","",37
"14.04.2015","age","18-21","",49
"14.04.2015","age","21-24","",48
"14.04.2015","age","24-27","",55
"14.04.2015","age","27-30","",42
"14.04.2015","age","30-35","",35
"14.04.2015","age","35-45","",25
"14.04.2015","age","45+","",17
"14.04.2015","gender_age","F","1-18",12
"14.04.2015","gender_age","F","18-21",8
"14.04.2015","gender_age","F","21-24",10
"14.04.2015","gender_age","F","24-27",10
"14.04.2015","gender_age","F","27-30",8
"14.04.2015","gender_age","F","30-35",9
"14.04.2015","gender_age","F","35-45",4
"14.04.2015","gender_age","F","45+",4
"14.04.2015","gender_age","M","1-18",25
"14.04.2015","gender_age","M","18-21",41
"14.04.2015","gender_age","M","21-24",38
"14.04.2015","gender_age","M","24-27",45
